DATUMVOLEB;OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
19961116;2;7;20;"Irena";"Nádherná";"";"";60;"tajem.okr.rady ÈS";"Sokolov";560286;20;20;"A";903;4.37;4.3694957901867;0;0;0;0;0;0;0;""
19961116;2;8;2;"Jiøí";"Dytrych";"";"";64;"starosta mìsta";"Sokolov";560286;99;2;"A";751;3.63;3.6339881931675;0;0;0;0;0;0;0;""
19961116;2;9;80;"Jan";"Hadrava";"";"";41;"starosta";"Loket";560537;99;80;"A";1828;8.85;8.8454466273105;0;0;0;0;0;0;0;""
19961116;3;1;80;"Jaroslav";"Kraus";"Ing.";"";52;"systémovı inenır";"Cheb";554481;99;80;"A";867;3.78;3.7792598404603;0;0;0;0;0;0;0;""
19961116;3;2;1;"Bøetislav";"Malásek";"";"";49;"podnikatel";"Cheb";554481;1;1;"A";1379;6.01;6.0110718800401;0;0;0;0;0;0;0;""
19961116;3;3;53;"Jiøí";"Gruša";"";"";58;"velvyslanec ÈR v SRN";"Praha";2;99;53;"A";8874;38.68;38.6818360141231;2;0;10221;42.19;42.1884674123911;0;0;""
19961116;3;4;5;"Oldøich";"Petrlík";"Ing.";"";58;"vızkumnı pracovník";"Aš";554499;5;5;"A";441;1.92;1.9223224794036;0;0;0;0;0;0;0;""
19961116;3;5;40;"Ladislav";"Ochozka";"";"";54;"úøedník";"Františkovy Láznì";554529;40;40;"A";270;1.18;1.1769321302471;0;0;0;0;0;0;0;""
19961116;3;6;47;"František";"Podlipskı";"JUDr.";"";46;"starosta";"Bor";560758;47;47;"A";4922;21.46;21.4550368336166;0;0;0;0;0;0;0;""
19961116;3;7;7;"Peter";"Morávek";"";"";47;"místopøedseda ÈSSD";"Cheb";554481;7;7;"A";6188;26.97;26.9735408221088;2;0;14006;57.81;57.8115325876088;1;0;""
19961116;4;1;53;"Milan";"Koneènı";"Ing.";"";46;"soukromı podnikatel";"Most";567027;53;53;"A";9367;39.51;39.5132034084198;2;0;10538;46.77;46.7711153521814;0;0;""
19961116;4;2;1;"Vojtìch";"Krejèíø";"JUDr.";"";45;"advokát";"Most";567027;1;1;"A";690;2.91;2.9106555302455;0;0;0;0;0;0;0;""
19961116;4;3;47;"Jan";"Vagaši";"JUDr.";"";56;"podnikovı právník";"Most";567027;47;47;"A";5168;21.8;21.800388087404;0;0;0;0;0;0;0;""
19961116;4;4;2;"Petr";"Pakosta";"";"";58;"podnikatel";"Hora Svaté Kateøiny";567167;99;2;"A";1509;6.37;6.3654770944064;0;0;0;0;0;0;0;""
19961116;4;5;80;"Richard";"Falbr";"JUDr.";"";56;"pøedseda ÈMKOS";"Praha 6";500178;99;80;"A";6245;26.34;26.3435417193959;2;0;11993;53.23;53.2288846478185;1;0;""
19961116;4;6;13;"Kamila";"Mouèková";"";"";68;"redaktorka";"Praha";2;99;13;"A";727;3.07;3.0667341601282;0;0;0;0;0;0;0;""
19961116;5;1;43;"Marta";"Karlíèková";"";"";46;"úèetní";"Chomutov";562971;43;43;"A";334;1.76;1.7570624441054;0;0;0;0;0;0;0;""
